UserEmail,Asset_1,Asset_2,Asset_3
a9shgh5zim@gmail.com,6989,8950,9345
43kg9fljr6@example.com,1479,8267,8642
gbuk15ld5j@yahoo.com,99,5811,276
rem3mk3kr0@outlook.com,3749,8757,8516
7l1ul66elp@outlook.com,7943,307,4821
52vab1lc9e@gmail.com,2478,7389,6673
emip9fiphf@outlook.com,9301,3832,6375
yz8q3gx9rp@yahoo.com,3464,1100,4653
3h82wae92k@gmail.com,240,2357,2535
xhj4n1avif@example.com,2282,612,9011
xyp5dhm5qs@yahoo.com,2731,7131,868
xlzyds1fca@gmail.com,8188,6148,9942
kcyy5fn1f5@outlook.com,1745,2460,9815
hgwxj11pz7@yahoo.com,8536,630,1224
ojry6tcv97@example.com,8363,3095,8122
l8nbsp4419@example.com,3141,2934,2129
db44z8gims@example.com,4905,7783,1783
es36ue00rn@outlook.com,7086,9704,1933
qhtve6losi@gmail.com,5229,9222,6478
540xx0jd5o@example.com,1473,2607,3750
dzd9i2teld@gmail.com,8877,4711,8647
ppi8ayqrs1@outlook.com,6593,1541,4800
rlh8deft3p@outlook.com,1229,3181,1342
dwbg0i0d7j@example.com,637,3645,4411
cw6bsa6vxg@example.com,7477,669,9284
2az5g2z8rm@yahoo.com,2169,6167,4190
6xa6bwk16n@yahoo.com,7257,5791,192
xo2htj8u89@yahoo.com,3862,9360,5522
zy0a6b02mc@outlook.com,6935,4951,5850
omdt1v01s7@outlook.com,8288,3677,2367
1w9rf4554i@gmail.com,7444,4586,63
pv5hgtbcep@gmail.com,5733,5798,7125
2kz7yc1unk@outlook.com,21,8409,3246
majr6gkn3d@yahoo.com,7098,6572,4314
b16n1v960l@outlook.com,3442,4546,4279
hlcmizhvsx@outlook.com,6925,1693,6204
vg0mm5dn8s@example.com,1004,7803,3032
a844mqqpoi@outlook.com,8927,5078,3415
e4xfgyftb3@example.com,8466,4736,8471
tdfjpkvg3k@yahoo.com,355,3857,9259
8nkhxpksbp@outlook.com,1046,8478,8776
w6fpzlnsds@example.com,7705,9158,910
djq5mqhd0u@gmail.com,8716,4739,6723
q95nys37mz@gmail.com,5820,8557,1911
pcdzytym0g@yahoo.com,9583,109,6292
y0hnh2z8ju@yahoo.com,8867,8296,4271
ul3ye7cu40@yahoo.com,6570,2805,5528
t13we68mxr@gmail.com,4877,9274,8247
r3bxerp0vt@outlook.com,2981,2432,7990
rqvvnn2j8d@gmail.com,8648,7763,7030
unzl28kffe@outlook.com,4646,4091,9544
bwt3ncdo5i@example.com,7547,1419,7828
96nhb9rgh8@example.com,4926,2634,885
kqhok2uf9z@gmail.com,3689,881,4247
u8innm7x3r@yahoo.com,2634,7117,8692
1j3a1e3u7p@yahoo.com,2083,1207,4669
9im8uka6w2@gmail.com,9600,3459,480
w94t9lqtqh@outlook.com,110,6830,4808
weyh0m9q08@yahoo.com,7722,7572,4103
fyzz4z5lht@outlook.com,6481,9372,684
11ly601txf@gmail.com,8079,3623,807
7gurgbrwvq@outlook.com,3738,5370,4810
8op0emtdow@yahoo.com,8122,5115,5162
s886l7rcd5@gmail.com,6037,154,12
n2wja0pbe1@example.com,6870,7203,1862
ledn1jpkac@outlook.com,4289,2244,69
xtgr16wvsv@yahoo.com,9542,2525,4688
72opec6t1s@yahoo.com,7327,2940,7311
v7pj13g5s9@yahoo.com,1918,222,725
wggic08tga@outlook.com,2927,2641,2554
e268s543qk@yahoo.com,1354,8742,485
wcrggv020o@outlook.com,4651,1392,3261
m1dl5nbnzf@outlook.com,194,715,9247
zh8xts9gew@gmail.com,1457,6457,1146
ckq1eg0ti7@outlook.com,5749,252,566
nelxeyhnc1@gmail.com,4994,1458,2538
5tdd1ftb8x@yahoo.com,6216,3916,9146
lvo4wwewjg@yahoo.com,8126,732,5660
y4bklxlyw0@outlook.com,7309,521,8611
yu44pkim8p@example.com,3416,3441,7160
kv5vs8lnqm@gmail.com,5364,316,4210
24vpyedqzt@outlook.com,1172,7038,7999
d7x24ymfla@outlook.com,9541,8185,5021
rg13q0wii7@outlook.com,7387,7262,7863
tk16oyhg2i@gmail.com,2126,6335,6070
9p6jwzyc2k@example.com,9860,9035,8036
6sfdjjdq4w@yahoo.com,5864,6382,9480
rb38ppqsz9@outlook.com,3979,2573,6650
vzxpdixg6n@example.com,9337,4031,3324
qjdbwotls2@example.com,4145,4557,8172
r12di06mqo@outlook.com,581,2119,6986
o62rvw4nha@gmail.com,6084,4251,1931
e2kqp0eahh@example.com,9600,5073,798
9wdal73nuo@gmail.com,141,3219,3855
sgmbv2oxoa@yahoo.com,3088,307,9821
dqqc3m7us8@yahoo.com,7915,760,5988
i8zco057ps@yahoo.com,5400,8697,3576
70k158gfx9@example.com,1813,4515,9645
iz9bd50erz@example.com,3741,2140,4234
690045741n@example.com,1146,8880,7047
